Run completed at 2025-03-19 23:41:53.266599
Best Trial: 2, Value: 0.886, Params: {'lr': 0.003144887689981901, 'batch_size': 8, 'num_filters': 48, 'num_epochs': 8}
Trial 0: Value 0.85, Params {'lr': 0.0041846515829384225, 'batch_size': 8, 'num_filters': 32, 'num_epochs': 7}
Trial 1: Value 0.88, Params {'lr': 0.0037133210663313257, 'batch_size': 8, 'num_filters': 32, 'num_epochs': 8}
Trial 2: Value 0.886, Params {'lr': 0.003144887689981901, 'batch_size': 8, 'num_filters': 48, 'num_epochs': 8}
Trial 3: Value 0.5, Params {'lr': 0.0046174463329439076, 'batch_size': 8, 'num_filters': 48, 'num_epochs': 6}
Trial 4: Value 0.726, Params {'lr': 0.0049522887268570685, 'batch_size': 8, 'num_filters': 48, 'num_epochs': 8}
Trial 5: Value 0.725, Params {'lr': 0.003913345163098175, 'batch_size': 8, 'num_filters': 32, 'num_epochs': 7}
Trial 6: Value 0.714, Params {'lr': 0.004508880064033753, 'batch_size': 8, 'num_filters': 48, 'num_epochs': 8}
Trial 7: Value 0.787, Params {'lr': 0.003632044419197482, 'batch_size': 8, 'num_filters': 32, 'num_epochs': 8}
Trial 8: Value 0.721, Params {'lr': 0.0036712785643480375, 'batch_size': 8, 'num_filters': 32, 'num_epochs': 6}
Trial 9: Value 0.5, Params {'lr': 0.0034975009554975523, 'batch_size': 8, 'num_filters': 48, 'num_epochs': 6}

